id,job-title,title-rating
5590e192f01ef4a8,Remote Children's Technology Teacher - Coding,7
24f625c9d9e47413,Software Engineer,8
5449dcd71aab9d2b,Sports-Focused Accelerometer/IMU Algorithm Developer,6
2a2d575a699b463e,Other Linux Engineering Team Opportunities,4
8f5611b46d25b3a,Director of Informatics,1
ad354720dc2e13a6,Software Engineer,8
60cbbc1cbbb76376,Software Developer,8
e53c56120a0f127d,Data science Training,8
b4f0e295972c4dcb,Data Engineer - Python,8
f420fd336c4b892f,Jr. Data Scientist,9
b0f7c757625f7b45,Data Analyst,7
67d164588518b1e3,Data Analyst,7
cf7f96f60af902b8,Python Back End Developer,7
0f775a3814a0771f,BI Data Engineer (Remote),7
0cc2428adbe9d89f,DEVOPS ENGINEER,3
6a4a46ce19fcd181,Data Analyst,7
3731f662da1f75ec,Data Developer,6
2b649c33f957091f,Bioinformatics Scientist,2
76edc8a4adc8f985,Automation Engineer,5
1bf8b423850e5451,Space Exploration Software Developer - 100% Remote,8
016b765037c5d468,Software Engineer - Backend,8
60e45819767e5c2d,Software Engineer,8
c2e277afb3261bc7,Software Developer,8
eee32dfca42e7ed8,Math Tutor,1
5875280d8f14a44d,Software Engineer - Conversational AI,7
a39aaa1147d05f37,Geophysicist - Remote,1
7f7a185825ef7e9f,Data Migration Engineer,6
8c0fbcaf4d6f15b,Software Developer,8
27ade40cc1a3686,Software Engineer - All Levels,9
3d49ce681f67291c,"Remote Observing Assistant, Mt. Locke Telescopes",5
4e603bc7ea0edf50,Geographic Information Systems Specialist,6
05b9d17163c58b5f,Regular IT Systems Management Analyst position (NOC),5
dab8909fb9b82e60,Network Opt Analyst,5
ec4ad16b3f447945,Quantum Software Engineer,7
c315e75bf2084a34,Build and Release Engineer,6
95e978ac4a9ac721,Systems Administrator,6
d291b1b7cb2fa8c4,Chemical Engineer -Early Career STEM Rotational Program,1
7bcdea45c06662de,Project Engineer -Early Career STEM Rotational Program,7
fd26c3ccbd94157,Associate Security Software Engineer,3
2e327279d18d6a67,Docker Specialist,3
107b27f40094a33a,Data Analyst,7
f35ff53bc21e9db3,Containerization Expert,3
e1c0e2bf0c6e69ea,Prompt engineer,8
51db2076d33b06c0,Data & Analytics Translator,7
f4c4953f4e39967d,Quantum Research Scientist,7
528322dd9101477f,Enterprise Account Executive,1
1d0a296205f403e6,Terraform Engineer,1
eb96e976839a8adc,Data Platform Engineer,6
e2e7b8f1cb480616,Technical Support Engineer (Aura),6
882902f72309a752,Technical Lead,6
efb81477aa460a25,Big Data Engineer,7
65004bac7047de3,Cloud Engineer,7
29806d2f192235af,Research Associate 1,5
8106830ee1433be1,Microservices Architect,5
2d2cf9ed692dab4a,Spacecraft Operator (Off Hours),3
e72228a074490e99,Web Developer,6
8309f86dbd979676,Generative AI Creator,8
cbe6e2cb5fd0faaf,Principal Data Scientist - Customer Growth Marketing,5
9d097088e63fd409,Data Coordinator,6
84594a5f97c8fea,Ivanti Administrator,3
d9f369ed4a5f530,SAS Programmer - Medical Device - Remote,6
560cbf5def8c5f69,Jr. Software Development Engineer,9
9cc1516b039db875,Entry-Level Computer Engineer,9
8c6e7674fa695211,Frontend Engineer,7
c860df790606e4a1,Research Engineer 1,5
bb16430846ba4e23,Computational Biologist 2,1
e3850a211192fdac,Parasitic Extraction QA Engineer (Remote),7
ff7be4c9d73a63e6,Data Management Specialist,4
0bffc7bce317208e,Parasitic Extraction QA Engineer (Remote),7
474864e72c5d673a,DevOps Engineer,4
6c538a76ea7c2957,Space Exploration Software Developer - 100% Remote,8
a50748bf8bce1bae,Computational Biologist 1,1
159e24d1d081ddee,Early Career Air and Noise Specialist,2
124bbee692d53c5c,Graduate transportation planner - 2024,1
70ec2981ed155a92,Consultant,6
5824c91ecca447b0,NextGen Data Engineer,5
32ef5d3ce0dde34a,Information Developer/Technical Writer (Hybrid),5
0ce11cd64428263a,"Software Developer: OPC Modeling, Simulation, and Machine Learning",7
70889040ebf437f1,Data Center Capacity Engineer,6
c74afc2158b1ce91,Junior Database & Application Administrator,8
d7b494f7a1fbb2fd,Actuarial Developer,4
067b0097827089d2,Associate Security Consultant - NetSPI University,3
0760d6a4c672ebbb,Faculty Research Assistant,6
8b6c8e8b27b691e1,Silicon Validation Engineer II,1
c5e657173d00dd8,"Research Scientist, Vision (PhD)",6
0726603bae4cdcb2,Backend/Full Stack Developer,7
ded924e39f1fd2a2,Full-Stack Software Engineer,7
ae89046571de3e91,Safari/Webkit Screener,6
3e5a317d6dbee60a,Research Associate (7398U) - 58965,5
ecd4f2fe53a63fc0,2024 Analytics & Data Early Career Development Program,8
4c14c8fff6bb5b1,W80-4 Systems Engineer - Electrical (Early/Mid-Career),6
4bea1926012db379,"Associate, Software Engineer, Applications",8
852fdd36ad41a939,Accelerated Computing Architect - New College Grad 2024,6
e004e922fdd74fe6,Python-Developers,8
916906ab8bac4c0f,Staff Data Analyst,7
1f13522de9c27f51,Software Infrastructure Engineer (Starlink),7
c79d116f878eafc2,Software Development Engineer,8
48ac50800567890d,Data Analyst,7
0ca77a8d7e96b864,Software Engineer (New College Grad 2024),7
